64;4;1;60.34;;;
64;16;1;61.33;;;
16;128;1;62.19;;;
4;4;1;62.37;;;
8;64;1;62.51;;;
128;32;1;62.8;;;
128;1;1;63.53;;;
1;32;1;63.86;;;
4;32;1;63.93;;;
1;128;1;64.66;;;
2;2;1;64.86;;;
32;8;1;64.97;;;
4;1;1;65.19;;;
16;2;1;65.34;;;
128;0;1;65.39;;;
1;4;1;65.83;;;
4;16;1;65.89;;;
2;4;1;66.34;;;
1;16;1;66.47;;;
2;8;1;66.63;;;
16;0;1;67.19;;;
16;1;1;67.63;;;
16;32;1;67.77;;;
128;2;1;67.84;;;
4;8;1;68.06;;;
8;4;1;68.2;;;
8;2;1;68.84;;;
32;0;1;69.11;;;
4;64;1;69.15;;;
16;64;1;69.16;;;
64;128;1;69.28;;;
2;16;1;69.36;;;
8;0;1;69.38;;;
32;64;1;69.72;;;
8;32;1;69.73;;;
4;0;1;69.79;;;
16;4;1;69.8;;;
32;1;1;69.9;;;
32;4;1;69.92;;;
16;8;1;69.95;;;
64;1;1;70.05;;;
128;4;1;70.08;;;
32;32;1;70.42;;;
1;0;1;70.52;;;
2;32;1;70.54;;;
4;2;1;70.97;;;
64;2;1;71.09;;;
1;8;1;71.55;;;
2;0;1;71.57;;;
1;2;1;72.55;;;
2;1;1;72.76;;;
8;1;1;73.99;;;
1;1;1;74;;;
64;0;1;88.65;;;
32;2;1;88.65;;;
128;8;1;88.65;;;
64;8;1;88.65;;;
8;8;1;88.65;;;
128;16;1;88.65;;;
32;16;1;88.65;;;
16;16;1;88.65;;;
8;16;1;88.65;;;
64;32;1;88.65;;;
128;64;1;88.65;;;
64;64;1;88.65;;;
2;64;1;88.65;;;
1;64;1;88.65;;;
128;128;1;88.65;;;
32;128;1;88.65;;;
8;128;1;88.65;;;
4;128;1;88.65;;;
2;128;1;88.65;;;
8;128;2;26.19;;;
2;64;2;31.54;;;
64;0;2;32.53;;;
16;32;2;32.56;;;
32;16;2;32.79;;;
16;1;2;33.58;;;
32;8;2;33.73;;;
32;64;2;34.92;;;
16;64;2;36.06;;;
8;4;2;37.07;;;
8;0;2;37.68;;;
2;8;2;37.89;;;
1;16;2;38.07;;;
2;128;2;38.74;;;
8;2;2;38.98;;;
8;64;2;39.09;;;
64;1;2;39.46;;;
64;32;2;40.69;;;
64;16;2;40.85;;;
8;1;2;41.24;;;
4;0;2;41.38;;;
64;8;2;41.61;;;
128;8;2;41.81;;;
16;8;2;41.83;;;
64;2;2;42.12;;;
128;4;2;42.16;;;
4;64;2;42.29;;;
32;128;2;42.63;;;
128;32;2;43.02;;;
16;4;2;43.1;;;
4;1;2;43.16;;;
32;2;2;43.56;;;
16;2;2;43.6;;;
4;8;2;44.02;;;
32;0;2;44.04;;;
2;32;2;44.12;;;
4;32;2;44.28;;;
1;4;2;44.86;;;
1;8;2;45.81;;;
16;0;2;45.84;;;
2;2;2;46.56;;;
2;16;2;47.1;;;
1;2;2;47.39;;;
2;1;2;48.29;;;
32;32;2;48.62;;;
128;2;2;48.68;;;
1;0;2;48.7;;;
64;128;2;49.35;;;
2;4;2;49.74;;;
1;1;2;49.77;;;
32;1;2;50;;;
1;64;2;50.36;;;
128;16;2;50.45;;;
32;4;2;51.27;;;
8;16;2;51.58;;;
16;16;2;53.17;;;
4;4;2;53.28;;;
4;2;2;55.68;;;
4;128;2;62.6;;;
64;4;2;70.14;;;
128;1;2;71.59;;;
128;0;2;88.65;;;
2;0;2;88.65;;;
8;8;2;88.65;;;
4;16;2;88.65;;;
8;32;2;88.65;;;
1;32;2;88.65;;;
128;64;2;88.65;;;
64;64;2;88.65;;;
128;128;2;88.65;;;
16;128;2;88.65;;;
1;128;2;88.65;;;
32;32;4;3.09;;;
128;8;4;4.11;;;
16;128;4;4.55;;;
64;8;4;5.01;;;
64;128;4;5.13;;;
4;16;4;5.41;;;
128;0;4;5.45;;;
2;32;4;5.82;;;
16;64;4;6.07;;;
16;8;4;6.2;;;
32;16;4;6.55;;;
4;8;4;7.23;;;
64;0;4;7.33;;;
2;16;4;7.4;;;
8;8;4;7.9;;;
2;8;4;8.11;;;
8;0;4;8.16;;;
1;16;4;8.29;;;
2;64;4;8.83;;;
64;2;4;9.17;;;
8;4;4;9.92;;;
16;0;4;9.93;;;
128;4;4;10.2;;;
32;2;4;11.02;;;
16;4;4;11.88;;;
128;32;4;11.99;;;
32;1;4;12.55;;;
4;32;4;12.9;;;
4;128;4;12.95;;;
64;32;4;13.19;;;
64;16;4;13.24;;;
4;0;4;13.28;;;
1;4;4;13.32;;;
128;1;4;13.36;;;
32;128;4;13.75;;;
8;64;4;13.98;;;
8;32;4;14;;;
8;16;4;14.09;;;
128;16;4;14.11;;;
2;128;4;14.33;;;
32;8;4;14.77;;;
1;8;4;15.13;;;
32;64;4;15.15;;;
16;16;4;15.22;;;
128;2;4;16.41;;;
16;2;4;16.53;;;
1;32;4;16.59;;;
1;64;4;16.59;;;
8;1;4;16.69;;;
